自	zì from
亲眼	qīnyǎn (to see) with one's own eyes
消失	xiāoshī to disappear, to vanish
象牙塔	xiàngyátǎ ivory tower
闻	wén [F] to hear
圣贤	shèngxián sages and the people of virtue
专心	zhuānxīn with intense concentration
影响	yǐngxiǎng to affect, influence
课余	kèyú after school
打工	dǎ gōng to work temporarily
绝对	juéduì absolutely, absolute
利用	lìyòng to use, to utilize
潮流	cháoliú trend or social change
调查	diàochá to investigate, to survey
多种多样	duōzhǒng-duōyàng diverse, various
有关	yǒuguān to relate to, to be connected to
家教	jiājiào tutor
兼职	jiānzhí to take a part-time job
技能	jìnéng skill
体力	tǐlì physical strength
劳动	láodòng labor, work
传单	chuándān leaflet, handbill, flyer
外卖	wàimài delivery
千差万别	qiānchā-wànbié to differ in a thousand
一致	yízhì identical
天之骄子	tiān zhī jiāozǐ an unusually lucky person
选择	xuǎnzé to choose
之外	zhīwài besides
副业	fùyè side occupation
对于	duìyú for
宽裕	kuānyù well-off
减轻	jiǎnqīng to lessen
负担	fùdān burden
家境	jiājìng family's financial situation
贫寒	pínhán [F] poverty level
保障	bǎozhàng to protect (property, rights, etc.), guarantee
此外	cǐwài in addition
缺	quē to be short of, to lack
加入	jiārù to join, add
行列	hángliè rank, lines of people or things
证明	zhèngmíng to prove, to testify
好处	hǎochu benefit, good, advantage
锻炼	duànliàn to improve (ability), to exercise
能力	nénglì ability, capability
积累	jīlěi to accumulate, to gather
简历	jiǎnlì resume
支持	zhīchí to support, to endorse
提前	tíqián to be ahead of schedule
接触	jiēchù to come into contact with
辛苦	xīnkǔ difficult, hard, laborious, strenuous
养成	yǎngchéng to form, to cultivate
节约	jiéyuē to save
大手大脚	dàshǒu-dàjiǎo wasteful, extravagant
自从	zìcóng [F] ever since
牛仔裤	niúzǎikù jeans
货比三家	huòbǐsānjiā to shop around to check prices
任务	rènwù task
一心一意	yìxīn-yíyì single-heartedly
一心二用	yìxīn-èryòng to do two things at once
黄金时期	huángjīn shíqī golden period, prime time
耽误	dānwu dānwuto fail to achieve a task because of delay or other reason
得不偿失	débùchángshī the loss outweighs the gain
自控	zìkòng to self-control
合理	hélǐ wise
乱	luàn reckless, random
难免	nánmiǎn unavoidable
课堂	kètáng [F] classroom
满足	mǎnzú to meet the demand of
多彩	duōcǎi colorful
拇指	mǔzhǐ thumb, big toe
族	zú group of people or things with common features
嘀	dī the sound of a text message reminder, similar to beep
专心致志	zhuānxīnzhìzhì wholly absorbed in
发	fā to send out
短信	duǎnxìn text message, instant message
一夜之间	yí yè zhījiān overnight
非	fēi non-, in-, un-
面对面	miànduìmiàn face-to-face
交流	jiāoliú to communicate, to exchange
不光	bùguāng not only
传	chuán to transmit, to pass
随着	suízhe along with
科技	kējì science and technology
一对一	yīduìyī one on one
群发	qúnfā to group text message
彩信	cǎixìn MMS
视频	shìpín video
基本	jīběn basic
接收	jiēshōu to receive, to get
查询	cháxún [F] to search, to look for (information)
股市	gǔshì stock market
行情	hángqíng financial market conditions including interest rates, exchange rates and quotations
参与	cānyù to participate in [F]
编写	biānxiě to make up, compose
专门	zhuānmén specially
网站	wǎngzhàn website
供	gōng to provide
下载	xiàzǎi to download
收入	shōurù income
总之	zǒngzhī in short
难怪	nánguài no wonder
究竟	jiūjìng exactly, actually
魔力	mólì magic power
着迷	zháomí to be fascinated by
流行	liúxíng popular
由于	yóuyú due to
价格	jiàgé price
下调	xiàtiáo to reduce, decrease (price, rate, etc.)
优势	yōushì advantage, strength
依然	yīrán [F] still
双方	shuāngfāng both sides; two parties
场合	chǎnghé occasion, situation
一方	yìfāng one side
接听	jiētīng to answer (phone call)
无论	wúlùn no matter
含蓄	hánxù reserved
善于	shànyú to be adept in, to be good at
直接	zhíjiē direct
表达	biǎodá to express
当面	dāngmiàn to one's face, face to face
约	yuē to ask someone out (e.g. on a date)
即使	jíshǐ even if
拒绝	jùjué to refuse, to reject, to turn down
尴尬	gāngà embarrassed
传递	chuándì [F] to deliver, to pass on
祝福	zhùfú to wish well
节日	jiérì festival
满天飞	mǎntiānfēi everywhere and anywhere
比如	bǐrú for instance
串	chuàn to string together
亲朋好友	qīnpénghǎoyǒu friends and relatives
魅力	mèilì charm, fascination
记录	jìlù to record, record
心动	xīndòng to stir someone's heart or emotion
难忘	nánwàng unforgettable
时刻	shíkè moment
前途	qiántú future, prospect (of one's career)
即将	jíjiāng soon, be about to
面临	miànlín to be faced with (an issue, a situation)
空间	kōngjiān space, room
某	mǒu [F] certain (person, thing, etc.)
发挥	fāhuī to bring into play
特长	tècháng strong point, specialty
并	bìng [F] and, besides
提拔	tíbá to promote (as in a job promotion)
简而言之	jiǎn'éryánzhī simply speaking
拥有	yōngyǒu to own (a great deal of property, land, population, etc.)
古典文学	gǔdiǎnwénxué classical literature
酷爱	kù'ài to ardent love, to be very fond of
招聘	zhāopìn to advertise for new employees
理想	lǐxiǎng ideal, ideality
需求	xūqiú requirement, demands
待遇	dàiyù salary or wages and benefits
秘书	mìshū secretary
距离	jùlí distance
生存	shēngcún to exist, to live
摆	bǎi to put, to place
眼前	yǎnqián before one's eyes, at present
苦恼	kǔnǎo vexed, worried
博客	bókè blog
网友	wǎngyǒu acquaintances from the internet
看法	kànfǎ point of view, opinion
毕竟	bìjìng after all, all in all
否则	fǒuzé otherwise
空谈	kōngtán empty talk, lip service
压力	yālì pressure, overwhelming force
孝敬	xiàojìng to be filial and respectful to one's elders
寸步难行	cùnbùnánxíng be unable to do anything, cannot move a single step
建议	jiànyì suggestion, to suggest
放弃	fàngqì to give up
可惜	kěxī it is too bad, what a pity
无关	wúguān irrelevant, to have nothing to do with
等于	děngyú to be equal to
心血	xīnxuè thoughts and energies, painstaking care
浪费	làngfèi to waste
成就	chéngjiù achievement, accomplishment
留言	liúyán message; to leave a message
左右为难	zuǒyòuwéinán be in a quandary, be in a dilemma
发愁	fāchóu to be worried about
如今	rújīn nowadays, at present
少数	shǎoshù minority
普及	pǔjí to popularize, to become common
就业	jiùyè to obtain employment, to become common
热门	rèmén popular
过	guò excessively, over
估计	gūjì to estimate
缺乏	quēfá to be short of, to lack
往往	wǎngwǎng often, frequently
眼高手低	yǎngāo-shǒudī have high standards but little ability
造成	zàochéng to cause (bad consequences)
耐心	nàixīn patience
跳槽	tiào cáo to job-hop
宁可	nìngkě would rather
雇(用）	gù (yòng) to hire
学历	xuélì record of formal schooling
期望	qīwàng to expect
提高	tígāo to improve, to raise
岗位	gǎngwèi sentinel post, job position
侧面	cèmiàn aspect, angle
反映	fǎnyìng to reflect, mirror
现状	xiànzhuàng present situation
贫困	pínkùn [F] poor
片断	piànduàn part, scenario
寻	xún [F] to look for, to search for
启事	qǐshì notice, announcement
与	yǔ with
地址	dìzhǐ address
贴	tiē to paste, to glue, to put up
村	cūn village
乡	xiāng country, countryside
镇	zhèn town
懒得	lǎnde to not be in the mood to do something
功夫	gōngfu time and effort
乐意	lèyì willing, pleasant
墨水	mòshuǐ ink
兑	duì to add (water, etc.)
铅印	qiānyìn printed by lead plates
份	fèn copies of newspapers, documents, etc.
管事	guǎnshì effective, useful
根本	gēnběn (not) at all
纯粹	chúncuì absolutely, purely
白	bái in vain, to no purpose
拽	zhuài to pull, drag, haul
烦	fán vexed, annoyed, tired of
报案	bào'àn to report a case to security authorities
派出所	pàichūsuǒ police station
登	dēng to publish (in newspaper)
效果	xiàoguǒ effect, result
播	bō to broadcast, announce
公安局	gōng'ānjú public security bureau
法院	fǎyuàn court of justice
地区	dìqū area, region
以及	yǐjí as well as, and
办学	bànxué to found and run a school
条件	tiáojiàn condition
国民	guómín citizen
素质	sùzhì (people) quality
义务	yìwù duty, obligation
方针	fāngzhēn guiding principle
贯彻	guànchè [F] to carry out, put into practice
落实	luòshí [F] to put into effect
不容	bùróng [F] not tolerate, not allow
乐观	lèguān optimistic
欠发达	qiànfādá underdeveloped
偏远	piānyuǎn remote, distant (region)
各种各样	gèzhǒnggèyàng all kinds of, various
广大	guǎngdà vast, wide
观众	guānzhòng audience
邀请	yāoqǐng [F] to invite
特殊	tèshū special, particular, unusual
嘉宾	jiābīn honored guest
民办	mínbàn non-government, run by community
代课	dàikè to substitute for class
还债	huánzhài to pay back debt
尽快	jǐnkuài as quickly as possible
继续	jìxù to continue
辍学	chuòxué to drop out of school
也许	yěxǔ perhaps, maybe
希望	xīwàng to hope, to dream, to yearn
界	jiè field, circle
伸出	shēnchū to stretch, expand
援助	yuánzhù to support, aid, help, assist
早日	zǎorì at an early date, soon
关系到	guānxidào to concern, to affect, to have bearing on
下一代	xiàyídài next generation
字幕	zìmù subtitle
赞助	zànzhù to support, assist (implies $$)
款	kuǎn [F] sum of money, fund
盖	gài to build, construct
校舍	xiàoshè schoolhouse
平均	píngjūn on average
失学	shīxué to miss the chance of going to school
重返	chóngfǎn return
青春	qīngchūn youth
爱情	àiqíng romantic love
心目	xīnmù heart, mind
充满	chōngmǎn to be brimming with, to be filled with
神秘	shénmì mysterious
语文	yǔwén language and literature
主题	zhǔtí theme, topic
单元	dānyuán unit (of teaching materials)
文章	wénzhāng article, literary works
角度	jiǎodù angle, point of view
歌颂	gēsòng to extol
进行	jìnxíng [F] to conduct, to carry out
启蒙	qǐméng to instruct the young, to initiate
目前	mùqián for now, at present
使用	shǐyòng to use, to employ, to apply
教材	jiàocái teaching material
出人意料	chū rén yìliào different from people's expectations
一时间	yìshíjiān in a short time, very soon
挂	guà to hang
极	jí [F] extremely, to the greatest extent
因此	yīncǐ therefore
引导	yǐndǎo to instruct and guide
成熟	chéngshú mature
渴望	kěwàng to be longing for, to be anxious for
供求	gōngqiú supply and demand
平衡	pínghéng balanced, to balance
引入	yǐnrù to lead into, introduce
误导	wùdǎo to guide someone in the wrong direction, to mislead
早恋	zǎoliàn to date at a young age
烦恼	fánnǎo worry
未	wèi not yet
成年人	chéngniánrén adult
青少年	qīngshàonián teenager
生理	shēnglǐ physiology
心理	xīnlǐ psychology
恋爱	liàn'ài to be in love
如何	rúhé how
处理	chǔlǐ to deal with, to handle
学业	xuéyè schoolwork, one's studies
把握	bǎwò to grasp firmly (deal with effectively, handle effectively)
尺度	chǐdù standard, measure, norm
鼓励	gǔlì to encourage
截然相反	jiéránxiāngfǎn completely different, opposite
举	jǔ to lift, to raise
双手	shuāngshǒu pair of hands, both hands
表示	biǎoshì to indicate, to express
赞同	zàntóng to agree, to approve, to endorse
同龄人	tónglíngren people at the same age
必要	bìyào necessary, requisite
偏见	piānjiàn prejudice, bias
一味	yíwèi blindly, make endless confessions
弯路	wānlù roundabout way, detour
禁区	jìnqū restricted zone
主编	zhǔbiān editor-in-chief
接受	jiēshòu to accept
采访	cǎifǎng to interview (by journalist or reporter)
哗众取宠	huázhòngqǔchǒng to win public praise, popularity, support by pandering to public tastes and desires
人类	rénlèi humanity, humankind
美好	měihǎo desirable, glorious
情感	qínggǎn emotion, feeling
盲目	mángmù blind, lacking insight or understanding
危险	wēixiǎn danger, dangerous
副	fù vice, assistant
主人	zhǔrén director, head
评论	pínglùn to comment on, to criticize or talk about
婚姻	hūnyīn marriage
危机	wēijī crisis
阳光	yángguāng sunshine
虚拟	xūnǐ virtual
原本	yuánběn original
屏幕	píngmù TV or movie screen
恋人	liànrén lover
夫妻	fūqī husband and wife, couple
天方夜谭	tiānfāng-yètán totally impossible thing
现象	xiànxiàng phenomenon
网恋	wǎngliàn online dating
顾名思义	gùmíng-sīyì as the term implies
互联网	hùliánwǎng internet
产生	chǎnshēng to give rise to, to bring about
好感	hǎogǎn favorable impression
建立	jiànlì to set up, to establish
截至	jiézhì [F] by (a specified time)
网民	wǎngmín netizen
达到	dádào to reach
亿	yì hundred million
超过	chāoguò to exceed
绝大多数	jué dàduōshù absolute majority; overwhelming majority
倾诉	qīngsù [F] to pour out one's heart, to reveal one's innermost feelings
释放	shìfàng to release
相貌	xiàngmào (of a person) look, appearance
背景	bèijǐng background
承诺	chéngnuò to promise to do something
责任	zérèn duty, responsibility
关机	guānjī to shut down (a computer)
顾虑	gùlǜ concern, worry
日益	rìyì increasingly, day by day
增大	zēngdà to enlarge, to increase
宣泄	xuān xiè to get sth off one's chest
暴露	bàolù to expose, to reveal
身份	shēnfèn identity
网络	wǎngluò (computer, telecom, etc.) network
恰恰	qiàqià exactly, precisely
宽松	kuānsōng spacious and comfortable
敲	qiāo to tap (keys of a keyboard)
键盘	jiànpán keyboard
素不相识	sùbùxiāngshí to be complete strangers (to each other)
长凳	chángdèng bench
树荫	shùyīn shade of a tree
体验	tǐyàn to learn through practice or personal experience
大胆	dàdǎn audacious, bold
寡言	guǎyán reticent, taciturn
幽默	yōumò humorous
扮演	bànyǎn to play the role/part of
直觉	zhíjué intuition
想象	xiǎngxiàng to imagine
格外	géwài especially
仅仅	jǐnjǐn only, merely
失望	shīwàng be disappointed (about sth./sb.)
所谓	suǒwèi so-called
英俊	yīngjùn handsome and talented
高度	gāodù altitude
近视	jìnshì near-sightedness
否认	fǒurèn to deny
微不足道	wēibùzúdào of no consequence, negligible, insignificant, not worth mentioning
沉溺	chénnì to indulge in, to wallow in (bad habits)
痴迷	chīmí to be infatuated (by), to be obsessive
完美	wánměi perfect, flawless
伴侣	bànlǚ companion, mate, partner
缺点	quēdiǎn shortcoming
悲剧	bēijù tragedy, sad event
发生	fāshēng to happen, to occur
断开	duànkāi to separate, to break
真实	zhēnshí actual, real
欺骗	qīpiàn to deceive, to trick
速食	sùshí fast food
经历	jīnglì to experience, to go through, experience
长期	chángqī long-term, long-lasting
交往	jiāowǎng to associate with
终身大事	zhōngshēndàshì once in a lifetime event (referring to marriage)
天长地久	tiāncháng-dìjiǔ (of love) as enduring as heaven and earth
节奏	jiézòu rhythm (of everyday life)
加快	jiākuài to accelerate, to speed up
谈情说爱	tánqíng-shuō'ài be connected with love and romance
如同	rútóng like, as
快餐	kuàicān fast food
品尝	pǐncháng to taste
不断	búduàn continuously
缩短	suōduǎn to curtail, to shorten
时代	shídài times
相亲	xiāngqīn to meet and evaluate a prospective life partner
媒妁之言	méishuòzhīyán matchmaker's introduction
征婚	zhēnghūn to look for a spouse, to solicit a spouse
速配	sùpèi to match fast
形式	xíngshì form, structure
居然	jūrán [F] unexpectedly
该	gāi [F] this, the above-mentioned
参加	cānjiā to join in, to take part in
者	zhě (indicate people)
单独	dāndú alone
异性	yìxìng the opposite sex
交谈	jiāotán to chat, to converse
中意	zhòngyì be to one's liking
组织	zǔzhī to organize; organization
成功	chénggōng to succeed, successful
稳定	wěndìng stable, steady
白领	báilǐng white collar
目标	mùbiāo goal, aim (specific)
尽可能	jǐnkěnéng as (short/much/far) as possible
候选人	hòuxuǎnrén candidate
另一半	lìngyíbàn other half
心理学	xīnlǐxué psychology (in an academic sense)
显示	xiǎnshì to show, to demonstrate
初次	chūcì for the first time
秒钟	miǎozhōng second
初步	chūbù first, initial, preliminary
最佳	zuìjiā best
长度	chángdù length
将	jiāng written form of 把
表现	biǎoxiàn to show, to manifest
下降	xiàjiàng to decline
尽兴	jìnxìng to enjoy (oneself) to the fullest
媒人	méirén matchmaker
冷场	lěng chǎng to be in the middle of awkward silence
约会	yuēhuì date, to date
新奇	xīnqí novel
派对	pàiduì party, gathering
符合	fúhé to conform to, to be in line with
求	qiú to seek, to pursue
外企	wàiqǐ foreign enterprise
幸福	xìngfú happy, happiness
寄托	jìtuō to entrust to the care of sb.
荒唐	huāngtáng absurd, ridiculous
凭	píng rely on
判断	pànduàn to judge
进一步	jìnyíbù go a step further, further
反而	fǎn'ér on the contrary
目的	mùdì purpose (general)
清单	qīngdān detailed list
挑选	tiāoxuǎn to pick, to choose
或许	huòxǔ [F] perhaps, maybe
大餐	dàcān great meal
道	dào (measure word for dishes, food)
至于	zhìyú as for
味道	wèidào taste
恐怕	kǒngpà I am afraid (conjecture)
空闲	kòngxián free time, leisure
领	lǐng to take, to lead
笑容	xiàoróng smile, smiling expression
祝愿	zhùyuàn wish
贡献	gòngxiàn contribution
一辈子	yíbèizi all one's life
团圆	tuányuán to reunite
红	hóng to become popular
遍	biàn all over (a place)
大江南北	dàjiāng-nánběi North and South of the Yangtze River
潸然泪下	shānrán-lèixià to break into tears, to shed silent tears
出门在外	chūménzàiwài away from home
伟大	wěidà great, mighty
纯粹	chúncuì pure, sheer
无私	wúsī selfless, unselfish
年迈体弱	niánmài-tǐruò [F] old and infirm
空巢	kōngcháo empty nest
纷纷	fēnfēn one after another, in succession
守	shǒu [F] to keep watch, to protect
比例	bǐlì ratio, proportion, percentage
回避	huíbì to avoid, to dodge
大量	dàliàng by large number, in great quantity
独生子女	dúshēngzǐnǚ only child
使得	shǐdé to make, to enable
一旦	yídàn in a single day, once
外地	wàidì place other than where one resides
不止	bùzhǐ not limited to, not merely
普遍	pǔbiàn common
外出	wàichū to go on business (esp. out of town), to go out
经商	jīngshāng to engage in trade, to be in business
探亲	tànqīn to go home to visit family members
逢年过节	féngnián-guòjié on festival days
以致	yǐzhì so that, as a result that
无	wú [F] without
陪伴	péibàn [F] to accompany someone, to keep someone company
追求	zhuīqiú to pursue
独立	dúlì independent
自立门户	zìlì ménhù establish one's independence
为	wéi by
现状	xiànzhuàng current situation
担忧	dānyōu to worry (at high level)
自理	zìlǐ to provide for oneself, to take care of oneself
医疗	yīliáo medical treatment
体系	tǐxì system
退休	tuìxiū to retire
失落	shī luò feeling of being alone or abandoned
孤独	gūdú lonely, solitary, lonesome
郁闷	yùmèn gloomy, depressed
天伦之乐	tiānlúnzhīlè family happiness
遥不可及	yáobùkějí unreachable
相当	xiāngdāng quite, fairly, considerably
合住	hézhù to live together (not romantic in nature)
摆脱	bǎituō to cast off
寻找	xúnzhǎo [F] to seek, to look for
预测	yùcè to predict, to forecast
未来	wèilái future
将	jiāng [F] be about to, going to
必经	bìjīng must go through
阶段	jiēduàn stage, phase
增强	zēngqiáng to strengthen, to heighten
迟早	chí zǎo sooner or later
心态	xīntài mindset
承受	chéngshòu to bear, to endure
体谅	tǐliàng to show understanding and sympathy by putting oneself in someone else's position
谈心	tán xīn to have a heart-to-heart
和谐	hé xié harmonious
美满	měimǎn perfectly satisfactory
善	shàn good, virtue
留守	liúshǒu to stay behind (to take care of things)
意义	yìyì meaning, significance
求学	qiúxué to pursue one's studies, to seek knowledge
今年	jīnnián the past few years, in recent year
含义	hányì meaning, connotation
扩展	kuòzhǎn to expand, to extend
谋求	móuqiú to seek, to pursue
坚守	jiānshǒu to stick to (your post), to hold down the fort
分居	fēnjū (of married couple) to live apart
各自	gèzì respectively
团聚	tuánjù to reunite, to have a reunion
型	xíng type, size
出现	chūxiàn to appear, to arise, to emerge
趋势	qūshì trend
销售	xiāoshòu [F] to sell
主管	zhǔguǎn person in charge
业务	yèwù business
看中	kànzhòng to take strong interest in
高薪	gāoxīn high salary
优厚	yōuhòu generous (salary), liberal (benefit)
商量	shāngliang to discuss, to talk over
聘请	pìnqǐng [F] to offer (a position)
繁忙	fánmáng [F] busy
缘故	yuángù reason
年终	niánzhōng end of the year, year-end
感慨	gǎnkǎi to sigh with emotion (perhaps regretfully, nostalgically)
唠叨	láodao to nag
老婆	lǎopo wife
嫌	xián to dislike, to hate
单位	dānwèi unit, work place
对付	duìfu to deal with, to cope with
熊掌	xióngzhǎng bear paw (delicacy)
兼得	jiāndé to get or have two things at the same time
矛盾	máodùn conflicting
牺牲	xīshēng to sacrifice
况且	kuàngqiě moreover, besides
着想	"zhuóxiǎng to consider (the interests of sb or sth) to have consideration for "" """
付出	fùchū to pay, to expend (life, energy, etc.)
典型	diǎnxíng typical
派	pài to send, to appoint
千里之外	qiānlǐ zhīwài beyond one thousand li
路途	lùtú road, path
遥远	yáoyuǎn distant, faraway
邋遢	lātā sloppy, slovenly
收拾	shōushi to put in order, to tidy
被子	bèizi quilt
叠	dié to fold up
碗筷	wǎn kuài bowl and chopsticks
安全感	ānquángǎn the sense of security
顶梁柱	dǐngliángzhù pillar, backbone
考验	kǎoyàn ordeal, trial, test
群体	qúntǐ group
祖辈	zǔbèi grandparents
隔代	gédài inter-generation
便利	biànlì convenient
一定	yídìng certain
程度	chéngdù extent, degree
敢于	gǎnyú [F] to dare to, to have the courage to
占	zhàn to occupy
相夫教子	xiàngfū-jiàozǐ (of wife) staying at home to take care of family
忽视	hūshì to ignore, to neglect
婚外情	hūnwàiqíng extramarital affair
由此	yóucǐ from this
导致	dǎozhì to cause, to lead to
率	lǜ rate, proportion, ratio
上升	shàngshēng to rise, to go up
温暖	wēnnuǎn warm
缩写	suōxiě abbreviation
均	jūn [F] both, all
且	qiě [F] and, also, both
自愿	zìyuàn to volunteer
生育	shēngyù [F] to give birth to
全新	quánxīn brand new, completely new
模式	móshì model (for imitation)
称作	chēngzuò to be called, to be addressed as
后期	hòuqī late period
逐渐	zhújiàn gradually, by degrees
集中	jízhōng to concentrate
事实上	shìshíshàng in fact
并非	bìngfēi definitely not, actually not
大致	dàzhì [F] roughly, more or less
居多	jūduō to be in the majority
永远	yǒngyuǎn forever
告别	gàobié to say goodbye to
浪漫	làngmàn romantic
开玩笑	kāi wánxiào to joke, to make fun of
第三者	dìsānzhě illicit lover
必然	bìrán inevitable, certain
投入	tóurù to invest in, to put into
精力	jīnglì energy, vigor
存在	cúnzài to exist
分歧	fēnqí [F] (of opinion, position) difference, divergence
怀孕	huáiyùn to be pregnant
抚养	fǔyǎng (a child) to foster, bring up, raise
宠物	chǒngwù pet
围	wéi to surround
转	zhuǎn to turn, to rotate
功课	gōngkè schoolwork, homework
好不容易	hǎobùróngyì not easily
操心	cāoxīn to be concerned with, to take trouble with
没完没了	méiwán-méiliǎo unending, endless
无暇	wúxiá [F] to have no time, to be busy
紧张	jǐnzhāng tightly-scheduled
职业	zhíyè professional
女性	nǚxìng [F] female, woman
无奈	wúnài to have no choice but to...
实在	shízài really, truly, indeed
领域	lǐngyù field, realm, domain
竞争	jìngzhēng to compete
激烈	jīliè intense, acute, fierce
熬夜	áoyè to stay up late or all night, to burn the midnight oil
负责	fùzé to be responsible for, to be in charge of
忍心	rěnxīn to have the heart to, to do sth. one is reluctant to do
受罪	shòuzuì to endure hardship or rough conditions
焦头烂额	jiāotóulàn'é in bad shape, in a stressful situation
事业	shìyè career
地位	dìwèi status
背	bēi to carry on the back
心疼	xīnténg (for sb.) to make one's heart ache, to feel sorry
何必	hébì [rhetorical] what is the point of (doing sth.)
小家伙	xiǎojiāhuo little baby
害怕	hàipà to be afraid of, to be scared of
变故	biàngù [F] unforeseen event, accident
和睦	hémù (of a relationship) harmonious
白头偕老	báitóu-xiélǎo blissfully grow old together
幸运	xìngyùn fortunate, lucky
哪	nǎ how could (in rhetorical question)
奢望	shēwàng to hope for something unrealistic, not likely to be realized
不幸	búxìng unfortunate, despairing, and painful
不至于	búzhìyú not to such an extent as to
多元化	duōyuánhuà to diversify; diversified
后代	hòudài later generations, descendants
权衡	quánhéng to weight the pros and cons
解脱	jiětuō to free oneself (from/of sb./sth.)
皇帝	huángdì emperor
电视剧	diànshìjù TV drama
锦衣玉食	jǐnyī-yùshí beautiful dress and nice food (live an extravagant life)
一呼百应	yìhū-bǎiyìng a hundred responses to a (single call)
威风	wēifēng awe-inspiring
属于	shǔyú to be classified as, to belong to, to be part of
有趣	yǒuqù interesting, amusing
批	pī group, batch
