校园～校園	xiàoyuán<br>campus, schoolyard
上网～上網	shàng wǎng<br>to get on the internet, to surf the web
发～發	fā<br>to deliver, to dispatch, to send out
电子邮件～電子郵件	diànzǐ yóujiàn<br>email
办～辦	bàn<br>to handle, to manage, to operate
带上～帶上	dàishàng<br>to bring with oneself
学生证～學生證	xuéshēngzhèng<br>student ID
交	jiāo<br>to pay, to hand in
月费～月費	yuèfèi<br>monthly fees
干什么～幹什麼	gànshénme<br>What do you do?
电话卡～電話卡	diànhuàkǎ<br>phone card
种类～種類	zhǒnglèi<br>kind, type, variety, category
热情～熱情	rèqíng<br>enthusiastic, warm-hearted; zeal, passion
便宜	piányi<br>cheap, inexpensive
推荐～推薦	tuījiàn<br>to recommend, recommendation
开通～開通	kāitōng<br>to successfully open a phone account
加上	jiāshàng<br>plus, in addition
充值	chōng zhí <br>to add value
一共	yígòng<br>altogether, in all
打折	dǎ zhé<br>to give a discount
减价～減價	jiǎn jià<br>to reduce the price
小摊儿～小攤兒	xiǎotānr<br>street vendor's set up
讨价还价～討價還價	tǎojià-huánjià<br>bargain, haggle
埃	ái<br>to suffer
宰	zǎi<br>to slaughter, to overcharge
最少	zuìshǎo<br>at least
响～響	xiǎng<br>loud, to make a sound
号码～號碼	hàomǎ<br>number
欢迎～歡迎	huānyíng<br>to welcome, to greet; greeting
使用	shǐyòng<br>to use, to apply
联通～聯通	Liántōng<br>Unicome (telecom company)
阴～陰	yīn<br>cloudy, overcast
笔记本～筆記本	bǐjìběn<br>laptop
聊天室	liáotiānshì<br>chat room
一下子	yíxiàzi<br>in a short while, all at once
世界	shìjiè<br>world, universe, society
变～變	biàn<br>to become different, to change
距离～距離	jùlí<br>spacial distance, time interval
隨時隨地～隨時隨地	suíshí suídì<br>at any time and any place
联系～聯繫	líanxì<br>to get in touch, to contact
几乎～幾乎	jīhū<br>almost, nearly
有时～有時	yǒushí<br>sometimes, now and then
发生～發生	fāshēng<br>to happen, to occur, to take place
全	quán<br>all, entire, completely
书包～書包	shūbāo<br>schoolbag, backpack
摸	mō<br>to touch, to feel, to stroke
口袋	kǒudài<br>pocket, sack
不好意思	bù hǎoyìsi<br>to feel embarrassed
关～關	guān<br>to shut, to close, to turn off, to lock
倒是	dào shì<br>used to express concession
花	huā<br>to spend (time, energy, money)
努力	nǔlì<br>striving, endeavor
练习～練習	liànxí<br>to practice, to exercise, drill
省钱～省錢	shěng qián<br>to save money
帮助～幫助	bāngzhù<br>to help, aid, assistance
不得了	bùdéliǎo<br>extremely
誓约～誓約	shìyuē<br>pledge
时差～時差	shíchā<br>time difference, jetlag
倒	dǎo<br>to inverse, to turn upside down, to adjust (jet lag)
困～睏	kùn<br>sleepy
签～簽	qiān<br>to sign
反正	fǎnzhèng <br>anyway
自己	zìjǐ<br>oneself, one's own
骗～騙	piàn<br>to deceive, to fool, to cheat
下课～下課	xià kè<br>to get out of class, to finish class
介绍～介紹	jièshào<br>to introduce, to present, introduction
伙伴～夥伴	huǒbàn<br>partner, associate, buddy
语言～語言	yǔyán<br>language
老	lǎo<br>always
违反～違反	wéifǎn<br>to violate (rules, regulations)
交换～交換	jiāohuàn<br>to exchange, to interchange
周	zhōu<br>week
为了～為了	wèile<br>for, in order to
再说～再說	zàishuō<br>in addition, furthermore
正确～正確	zhèngquè<br>right, correct
四声～四聲	sìshēng<br>four tones
受到	shòudào<br>to get, to be given, to suffer, to receive
影响～影響	yǐngxiǎng<br>to influence, to impact, influence
利用	lìyòng<br>to take advantage of
机会～機會	jīhuì<br>opportunity, chance
只要	zhǐyào<br>if only, as long as, provided
总有一天～總有一天	zǒng yǒu yì tiān<br>one day, eventually
搬	bān<br>to move, to remove, to transport
梦～夢	mèng<br>dream, fancy
作文	zuòwén<br>composition
记得～記得	jìde<br>to remember
记～記	jì<br>to memorize, to learn by heart
做梦～做夢	zuò mèng<br>to dream, to daydream; fancy
背	bèi<br>to learn by rote
单词～單詞	dāncí<br>word
进步～進步	jìnbù<br>to improve
课堂～課堂	kètáng<br>classroom, schoolroom
讨论～討論	tǎolùn<br>to discuss, to talk over
总是～總是	zǒngshì<br>always
除了	chúle<br>besides
付	fù<br>to pay
电话费～電話費	diànhuàfèi<br>phone bill
水电费～水電費	shuǐdiànfèi<br>utility
房费～房費	fángfèi<br>rent
费用～費用	fèiyòng<br>fee, cost, expense, charges
个人支票～個人支票	gèrén zhīpiào<br>personal check
接受	jiēshòu<br>to accept
信用卡	xìnyòngkǎ<br>credit card
现金～現金	xiànjīn<br>cash
危险～危險	wēixiǎn<br>dangerous
落后～落後	luò hòu<br>backward, to lag behind
同意	tóngyì<br>to agree, to consent, to approve
大声～大聲	dà shēng<br>loudly
甚至	shènzhì<br>even, (go) so far as to, even to the extent that
先进～先進	xiānjìn<br>advanced
准确～準確	zhǔnquè<br>accurate, exact, precise
醒	xǐng<br>to wake up, to be awake
流利	liúlì<br>fluent, fluently, glibly
希望	xīwàng<br>to hope, to aspire
更	gèng<br>even more
美夢成真～美梦成真	měi mèng chéng zhēn<br>A dream comes true
家庭	jiātíng<br>family, household
抱	bào<br>to hold or carry in the arms
枕头～枕頭	zhěntou<br>pillow
软～軟	ruǎn<br>soft, flexible
硬	yìng<br>hard, stiff, firm, tough
对了～對了	duìle<br>by the way
住得惯～住得慣	guòdeguàn<br>to get used to a certain living condition
差不多	chàbuduō<br>almost, nearly, that's about it
大概	dàgài<br>approximately, roughly
那还用说～那還用說	nàháiyòngshuō<br>sure!
整天	zhěngtiān<br>the whole day, all day
相处～相處	xiāngchǔ<br>to get along (with one another)
自在	zìzài<br>at ease
客气～客氣	kèqi<br>extra polite, courteous
家务活～家務活	jiāwùhuó<br>house chores
中美	zhōng​měi​<br>China - US
关系～關係	guānxi<br>relation, connection
感兴趣～感興趣	gǎn xìngqù<br>to become interested
水平	shuǐpíng<br>standard, level, proficiency
操心	cāo xīn<br>to worry, to be concerned about (usually by a parental figure)
本来～本來	běnlái<br>original, originally, at first
管	guǎn<br>to manage, to be in charge of, to take care of
准备～準備	zhǔnbèi<br>to prepare
起床	qǐchuáng<br>to get up
来不及～來不及	láibují<br>be too late to do something
麻烦～麻煩	máfan<br>troublesome, to bother
并不～並不	bìngbù<br>contrary to expectations (not)
尽管～儘管	jǐnguǎn<br>even though, in spite of
困难～困難	kùnnan<br>difficult, difficulty
好处～好處	hǎochù<br>pros, benefit, advantage
坏处～壞處	huàichù<br>cons, harm, disadvantage
新鲜～新鮮	xīnxiān<br>fresh (food, experience)
敢	gǎn<br>to dare, to have courage to
哭	kū<br>to cry, to weep
肯定	kěndìng<br>definitely
输～輸	shū<br>to lose, to be defeated
难说～難說	nánshuō<br>unsure, hard to say
赢～贏	yíng<br>to win, to gain profit
皇帝	huángdì<br>emperor
开始～開始	kāishǐ<br>to start
实行～實行	shíxíng<br>to put into practice, to carry out
独生子女～獨生子女	dúshēngzǐnǚ<br>only child
政策	zhèngcè<br>policy
增加	zēngjiā<br>to increase, to raise, to add
由于～由於	yóuyú<br>owing to, thanks to, due to
照顾～照顧	zhàogù<br>to take care of, to look after, to care
爷爷～爺爺	yéye<br>paternal grandfather
奶奶	nǎinai<br>paternal grandmother
姥姥	lǎolao<br>maternal grandmother
姥爷～老爺	lǎoye<br>maternal grandmother
养～養	yǎng<br>to support, to provide for, to raise
要求	yāoqiú<br>needs, requirements
尽量～儘量	jǐnliàng<br>to one's best ability
满足～滿足	mǎnzú<br>to satisfy
结果～結果	jiéguǒ<br>as a result, consequence
洗碗	xǐ wǎn<br>to wash dishes
简单～簡單	jiǎndān<br>simple, uncomplicated
以为～以為	yǐwéi<br>to wrongly think so, to believe
轻松～輕鬆	qīngsōng<br>relaxed, light-hearted
其实～其實	qíshí<br>as a matter of fact
压力～壓力	yālì<br>pressure, burden
重	zhòng<br>heavy
功课～功課	gōngkè<br>schoolwork, homework
人口	rénkǒu<br>population
厉害～厲害	lìhai<br>fierce, formidable, severe
文化	wénhuà<br>culture, education
注重	zhùzhòng<br>to attach importance to a particular aspect
教育	jiàoyù<br>to educate, education, schooling
重视～重視	zhòngshì<br>to value
注意力	zhùyìlì<br>attention
放	fàng<br>to put, to place
身上	shénshang<br>on one's body, on someone
精力	jīnglì<br>energy vigor
幸福	xìngfú<br>happy, to be blessed
辛苦	xīnkǔ<br>hard, exhausting with much toil
饮食～飲食	yǐnshí<br>food and drink
地道	dìdao<br>authentic, typical
来～來	lái<br>to let (the waiter) bring...
啤酒	píjiǔ<br>beer, brewage
筷子	kuàizi<br>chopsticks
副	fù<br>pair, set
刀叉	dāochā<br>knife and fork
从小～從小	cóngxiǎo<br>since one is very young
早就	zǎojiù<br>long since
中国城～中國城	zhōngguóchéng<br>Chinatown
大吃一顿～大吃一頓	dà chī-yí dùn<br>to have a great meal
老手	lǎoshǒu<br>master, old hand, veteran
老美	lǎoměi<br>nickname for Americans
假	jiǎ<br>fake, false, artificial
真正	zhēnzhèng<br>genuine, real, true, truly
既然	jìrán<br>since, now that
即使	jíshǐ<br>even if, even though
快餐	kuàicān<br>fast food
牛肉	niúròu<br>beef
猪肉～豬肉	zhūròu<br>pork
鱼虾～魚蝦	yúxiā<br>fish and shrimp
什么的～什麼的	shénmede<br>and so on
点～點	diǎn<br>to order food
吃素	chī sù<br>to eat vegetarian
各种各样～各種各樣	gè zhǒng-gè yàng<br>all kinds of
样～樣	yàng<br>kind, variety
肯德基	Kěndéjī<br>KFC
垃圾	lājī<br>trash, garbage, waste
食品	shípǐn<br>food, provisions
呗～唄	bei<br>expressing a tone of light-heartedness
味道	wèidào<br>taste, flavor, odor, smell
挺	tǐng<br>very
省得	shěngde<br>save the trouble of
饮料～飲料	yǐnliào<br>beverage, drink
难怪～難怪	nánguài<br>no wonder
眼睛	yǎnjing<br>eye, vision
舌头～舌頭	shétou<br>tongue
肚子	dùzi<br>stomach, abdomen
由此看来～由此看來	yóu cǐ kànlái<br>by this token
形式	xíngshì<br>form, shape
內容	nèiróng<br>content, substance
说法～說法	shuōfa<br>wording, statement, argument
承认～承認	chéngrèn<br>to acknowledge, to admit
方式	fāngshì<br>style, way
看出	kànchū<br>to figure out, to make out
国家～國家	guójiā<br>country, nation, state
特点～特點	tèdiǎn<br>special feature
讲究～講究	jiǎngjiu<br>to be particular about, exquisite
数一数二～數一數二	shǔyī-shǔèr<br>one of the very top
聚会～聚會	jùhùi<br>get together
任何	rènhé<br>any, whatever, whichever
丰盛～豐盛	fēngshèng<br>big meal, lavish
高级～高級	gāojí<br>senior, high-level, luxurious
宴席	yànxí<br>banquet, feast
价格～價格	jiàgé<br>price
超过～超過	chāoguò<br>to surpass, to exceed, to outstrip
收入	shōurù<br>income, revenue, earning
丰富多彩～豐富多采	fēngfù-duōcǎi<br>rich in variety and color
表现～表現	biǎoxiàn<br>to show, to display
翅膀～翅髈	chìbǎng<br>wing
腿	tuǐ<br>leg
煎	jiān<br>to pan-fry
炒	chǎo<br>to stir-fry
煮～煑	zhǔ<br>to boil
炸	zhà<br>to deep fry
红烧～紅燒	hóngshāo<br>to boil in soy sauce
清蒸	qīngzhēng<br>to steam without other sauce
品尝～品嚐	pǐncháng<br>to taste
病	bìng<br>illness, to be sick
哎哟～哎喲	āiyō<br>ouch! ow!
上厕所～上廁所	shàng cèsuǒ<br>to go to the bathroom
疼	téng<br>painful
偏要	piān yào<br>to insist on (stubbornly)
治病	zhì bìng<br>to treat illness
真的	zhēnde<br>really
开玩笑～開玩笑	kāi wánxiào<br>to make fun of, to crack a joke
药～藥	yào<br>medicine, drug, remedy
中药～中藥	zhōngyào<br>traditional Chinese medicine
西药～西藥	xīyào<br>western medicine
拉肚子	lā dùzi<br>diarrhea
管用	guǎnyòng <br>effective
劝～勸	quàn<br>to persuade, to advise, to urge
医院～醫院	yīyuàn<br>hospital
家	jiā<br>measure word for institutions and companies
专门～專門	zhuānmén<br>specially
上次	shàngcì<br>last time
当时～當時	dāngshí<br>at that time, then
体验～體驗	tǐyàn<br>to experience (for oneself), experience
情况～情況	qíngkuàng<br>situation, circumstances
恶心～噁心	ěxin<br>feel nauseated, feel like vomiting
吐	tù<br>to spit, to vomit
趟	tàng<br>measure for trips
主要	zhǔyào<br>major, main, chief
挂号～掛號	guà hào<br>to register, to get a number to keep order (at hospital)
化验～化驗	huàyàn<br>to conduct laboratory tests
打针～打針	dǎ zhēn<br>to inject, injection
医疗保险～醫療保險	yīliáo bǎoxiǎn<br>medical instruments
要紧～要緊	yàojǐn<br>vital, important, essential
赶快～趕快	gǎnkuài<br>hastily, at once, immediately
待	dāi<br>to stay
叫	jiào<br>to hail a cab
无论～無論	wúlùn<br>no matter what, how, regardless of
火车站～火車站	huǒchēzhàn<br>railway station
汽车站～汽車站	qìchēzhàn<br>bus station
商场～商場	shāngchǎng<br>mall
电影院～電影院	diànyǐngyuàn<br>movie theater
到处～到處	dàochù<br>everywhere, all about
气～氣	qì<br>anger
护士～護士	hùshi<br>nurse
笑脸～笑臉	xiàoliǎn<br>smiling face
心情	xīnqíng<br>mood
中医～中醫	zhōngyī<br>Chinese medicine
西医～西醫	xīyī<br>western medicine
开药～開藥	kāi yào<br>to prescribe the medicine
既。。。有	jì....yòu<br>both...and, as well as
现代～現代	xiàndài<br>modern times, modern age
大部分	dàbùfen<br>the majority, most
地区～地區	dìqū<br>area, district, region
合法	héfǎ <br>legal, lawful, legitimate
地位	dìwèi<br>status, position
相信	xiāngxìn<br>to believe in, to have faith in
针灸～針灸	zhēnjiǔ<br>acupuncture
按摩	ànmó<br>to massage
普及	pǔjí<br>to popularize, to disseminate
尤其	yóuqí<br>especially, particularly
神奇	shénqí<br>magical, mysterious, miraculous
头疼～頭疼	tóuténg<br>headache
发烧～發燒	fāshāo<br>to have a fever, to blush
感冒	gǎnmào<br>flu, to have a cold
过敏～過敏	guòmǐn<br>to have an allergy to, to be allergic to
扎针～扎針	zhā zhēn<br>to have an acupuncture
出门在外～出門在外	chū mén zài wài<br>to be away from home
环境～環境	huánjìng<br>environment, surroundings
熟	shú<br>familiar
俗话～俗話	súhuà<br>common saying, proverb
病从口入～病從口入	bìng cóng ku rù<br>illness enters via the mouth
卫生～衛生	wèishēng<br>sanitary, hygiene
万一～萬一	wànyī<br>in case, if by any chance
得	dé<br>to acquire (disease)
急病	jíbìng<br>acute illness or syndrome
急诊～急診	jízhěn<br>emergency room
自行车～自行車	zìxíngchē<br>bicycle
丟	diū<br>to lose, to forfeit
骑～騎	qí<br>to ride
颐和园～頤和園	Yíhéyuán<br>the Summer Palace
放松～放鬆	fàngsōng<br>to relax, to slacken, to loosen
发呆～發呆	fā dāi<br>to stare blankly, to be in a daze
被	bèi<br>by, passive voice marker
小偷	xiǎotōu<br>petty thief
偷	tōu<br>to steal
免得	miǎndé<br>for fear that, lest
高档～高檔	gāodàng<br>(of commodities) high-end, of superior quality
山地车～山地車	shāndìchē<br>mountain bicycle
辆～輛	liàng<br>MW for vehicles
锁～鎖	suǒ<br>lock, padlock, to lock up
样子～樣子	yàngzi<br>appearance, shape, manner
难看～難看	nánkàn<br>ugly, embarrassingly shameful
长城～長城	Chángchéng <br>Great Wall of China
周末～週末	zhōumò<br>weekend
引起	yǐnqǐ<br>to give rise to, to cause
心疼	xīnténg<br>to feel sorry for, to make one's heart ache
二手	èrshǒu<br>second hand
实用～實用	shíyòng<br>practical, functional
旧～舊	jiù<br>old, worn, used
关键～關鍵	guānjiàn<br>key, the most crucial
掉	diào<br>to drop, to fall, to come off, to lose
链子～鏈子	liànzi<br>roller chain (of a bicycle)
哈哈	hāhā<br>sound of laughter
着急～著急	zháo jí<br>worry, feel anxious
陪	péi<br>to keep company, to accompany
警察	jǐngchá<br>policeman, policeman, cop
派出所	pàichūsuǒ <br>local police station
意义～意義	yìyi<br>significance, meaning, value
等同	děngtóng<br>to equate
重要性	zhòngyàoxìng<br>importance, significance
了解～瞭解	liǎojiě<br>to understand, to acquaint oneself with, to know
大街小巷	dà jiē xiǎo xiàng<br>major streets and small alleys
转转～轉轉	zhuànzhuan<br>to wander about
年轻人～年輕人	niánqīngrén<br>young people, youngster
悄悄话～悄悄話	qiāoqiāohuà<br>words spoken in a hushed tone
甜甜	tiántián<br>sweet
笑容	xiàoróng<br>smile
对～對	duì<br>a pair
恋人～戀人	liànrén<br>lover, sweetheart
可爱～可愛	kě'ài<br>adorable, lovely, lovable
跟着～跟著	gēnzhe<br>follow, in wake of
忘不了	wàngbùliǎo<br>cannot forget
推	tuī<br>to push
架子	jiàzi<br>shelf
也许～也許	yěxǔ<br>probably, perhaps, maybe
总统～總統	zǒngtǒng<br>president (of a country)
访问～訪問	fǎngwèn<br>to visit a place
单车～單車	dānchē<br>bike
农村～農村	nóngcūn<br>rural area, countryside
城市	chéngshì<br>city
冲突～衝突	chōngtū<br>conflict, clash
故事	gùshi<br>story, tale, plot
票房	piàofáng<br>box office
说明～說明	shūomíng<br>to explain, to illustrate
密切	mìqiè<br>close
车轮～車輪	chēlún<br>vehicle wheel
轮子～輪子	lúnzi<br>wheel
罢了～罷了	bàle<br>and that's all
上班	shàng bān<br>to go to work, to be on duty
下班	xià bān<br>to get off work, to be off duty
锻炼～鍛鍊	duànliàn<br>to engage in physical exercise
经济～經濟	jīngjì<br>economy, financial condition, economical, thrifty
一举两得～一舉兩得	yī jǔ liǎng dé<br>one stone kills two birds
交通	jiāotōng<br>traffic, transportation
总算～總算	zǒngsuàn<br>at last, finally
碰到	pèngdào<br>to bump into, to come across
理由	lǐyóu<br>argument, reason
展览～展覽	zhǎnlǎn<br>to exhibit, to show, exhibition
历史～歷史	lìshǐ<br>history
博物馆～博物館	bówùguǎn<br>museum
天安门～天安門	Tiān'ānmén<br>Tian'anmen Square
堵（车／車）	dǔ chē<br>to block up, stifled
事故	shìgù<br>accident
关门～關門	guān mén<br>to close (store, museum, etc.)
要不	yàobù<br>What do you think if, How about
换车～換車	huàn chē<br>to make a transfer
零钱～零錢	língqián<br>change
找钱～找錢	zhǎo qián<br>to give change (in transaction)
发票～發票	fāpiào<br>receipt
虽说～雖說	suīshuō<br>though, although (oral)
经历～經歷	jīnglì<br>experience, to go through
耽误～耽誤	dānwù<br>to delay
演出	yǎnchū<br>performance, show, play, to perform, to put on a play
京剧～京劇	Jīngjù<br>Beijing Opera
紧张～緊張	jǐnzhāng<br>nervous, tight (in money/time)
挤～擠	jǐ<br>crowded, to squeeze into
公交车～公交車	gōngjiāochē<br>bus
打的	dǎdī <br>to hail a cab
立交桥～立交橋	lìjiāoqiáo<br>flyover, fly-pass
走不了	zǒu bù liǎo<br>cannot move
后悔～後悔	hòuhuǐ<br>to regret, to repeat
早知道	zǎo zhīdao<br>if I knew it beforehand, Had I known earlier
不如	bùrú<br>it would be better to....
一般来说～一般來說	yìbān lái shuō<br>generally speaking
值得	zhíde<br>to deserve, to be worthwhile
社会～社會	shèhuì<br>society
调查～調查	diàochá<br>to investigate, to survey, investigation, inquiry
放假	fàng jià<br>to be on holiday, to have the day off
旅游～旅遊	lǚyóu<br>to travel, trip, tourism
各地	gèdì<br>various places
风土人情～風土人情	fēngtǔ rénqíng<br>local customs and traditions
口头～口頭	kǒutóu<br>oral, in word, verbal
报告～報告	bàogào<br>to report
想法	xiǎngfǎ<br>idea, opinion
但愿如此～但願如此	dànyuàn rúcǐ<br>I hope so
公共	gōnggòng<br>public, communal
城墙～城牆	chéngqiáng<br>(ancient) city wall
发展～發展	fāzhǎn<br>to develop, development
政府	zhèngfǔ<br>government
拆掉	chāidiào<br>to dismantle, to tear apart
扩建～擴建	kuòjiàn<br>to extend/expand (building, road, etc.)
盖～蓋	gài<br>to build
座	zuò<br>measure word for constructions and mountains
修	xiū<br>to repair, to mend, to fix, build
宽～寬	kuān<br>wide, broad
建	jiàn<br>to build, to construct
随着～隨著	suízhe<br>along with, in the wake of
扩大～擴大	kuòdà<br>to expand, to enlarge
各式各样～各式各樣	gè shì gè yàng<br>all types and styles of, of great variety
线～線	xiàn<br>line, route (of subway, bus)
绿色～綠色	"lǜsè<br>green (often indicating ""environmentally friendly"")"
轻轨～輕軌	qīngguǐ<br>light rail, elevated rail
运行～運行	yùnxíng<br>to operate, to run
划算	huásuàn<br>economical, worth the price
嫌	xián<br>to dislike, to complain of, to grudge
够～夠	gòu<br>enough, sufficient, adequate
十分	shífēn<br>very, fully, completely
趁机～趁機	chèn jī<br>to take advantage of the occasion, to seize an opportunity to...
家常	jiācháng<br>daily, domestic trivia
遇到	yùdào<br>to encounter
堵塞	dǔsè<br>to block, traffic jam
高峰期	gāofēngqī<br>peak time, rush hour
新手	xīnshǒu<br>green hand, novice
撞	zhuàng<br>to bump into, to collide, to crash
知名人士	zhīmíng rénshì<br>celebrity
提倡	tíchàng<br>to advocate, to promote, to encourage
一方面	yì fāngmiàn<br>one one side
改善	gǎishàn<br>to improve
状况～狀況	zhuàngkuàng<br>condition, state (of affairs)
减少～減少	jiǎnshǎo<br>to reduce, to decrease, to cut down
污染	wūrǎn<br>to contaminate
时代～時代	shídài<br>times, age, era, epoch
私人	sīrén<br>private, personal
课间～課間	kèjiān<br>between classes
休息	xiūxi<br>to rest, to take a break
愁眉苦脸～愁眉苦臉	chóu méi kǔ liǎn<br>to wear a distressed expression, to look miserable
难题～難題	nántí<br>difficult question, conundrum
郁闷～鬱悶	yùmèn<br>gloomy, depressed, melancholy
吵	chǎo<br>to quarrel, to make a noise, noisy
吵架	chǎo jià<br>to quarrel, to wrangle, to bicker over
不过～不過	búguò<br>only, merely, no more than
才～纔	cái<br>only, merely
必要	bìyào<br>indispensable, necessity
邻居～鄰居	línjū<br>neighbor
隔壁	gébì<br>next door
教授	jiàoshòu<br>professor
进口～進口	jìnkǒu<br>imported
面包车～麵包車	miànbāochē<br>van, minibus
穷～窮	qióng<br>poor, impoverished
虚荣～虛榮	xūróng<br>vain, vanity, peacockery
土	tǔ<br>local, native, unfashionable
意见～意見	yìjian<br>view, opinion
商量	shāngliang<br>to consult, to discuss, to talk over
道理	dàolǐ<br>reason, principle, rationale
例子	lìzi<br>example, case, instance
解释～解釋	jiěshì<br>to explain
费钱～費錢	fèiqián<br>costly
停车～停車	tíngchē<br>to stop, to pull over, to park car
